"CodUrl","CodProg","Url","CodTipoUrl","Extra","codTipoSo","Status","DataChecagem","StatusGoogle","DataChecagemUrlQuebrada"
7188,47199,http://www.freewebs.com/,1,"",,Erro,2021-01-05 22:07:28,"",2020-09-21
7627,46771,http://www.freewebs.com/orbitech/files/Img_Filter.exe,1,"",,Erro,2021-01-05 22:07:27,"",
7853,46548,http://www.freewebs.com/gareths-home/Gareths%20Photo%20Viewer.exe,1,"",,Erro,2021-01-05 22:07:26,"",
9963,44511,http://archive.customize.org/files/stylexp/CarbonPro1-1.zip,1,"",,Erro,2021-01-05 22:07:21,"",
10642,43806,http://www.bitshop.com.br/arquivos/demo_bitplus.exe,1,"",,Erro,2021-01-05 22:07:20,"",
10812,43628,http://www.3delite.hu/LANChat/Download/LANChat%201.0.zip,1,"",,Erro,2021-01-05 22:07:19,"",2020-06-15
11124,43309,http://www.screen-capture-master.com/file/scmsetup.zip,1,"",,Erro,2021-01-05 22:07:19,"",2020-04-23
11263,43172,http://www.benware.de/download/imagetomp3_1_3.zip,1,"",,Erro,2021-01-05 22:07:18,"",2020-12-23
11686,42737,http://download.outertech.com/file.php?&PHPSESSID=90b07117091706ec38fe5b3a1ac1f0b2&file=local24,1,"",,Erro,2021-01-05 22:07:17,"",2020-02-14
11709,42713,http://www.hexagora.com/getprg2.asp?idcounter=13,1,"",,Erro,2021-01-05 22:07:17,"",
11713,42709,http://www.hexagora.com/getprg2.asp?idcounter=41,1,"",,Erro,2021-01-05 22:07:17,"",
11829,42593,http://www.vanderlee.com/download/camo103.exe,1,"",,Erro,2021-01-05 22:07:16,"",
12087,42330,http://www.topmeadow.com/highway168/PuzzlePoker-Installer-v1_0_216.exe,1,"",,Erro,2021-01-05 22:07:16,"",
12097,42317,http://www.momorprods.com/download/download.php?id=22,1,"",,Erro,2021-01-05 22:07:16,"",
12324,42080,http://www.fergonez.net/download.php?file=fim_lite.zip,1,"",,Erro,2021-01-05 22:07:15,"",
12555,41865,http://www.programming.de/download/simplepaint.zip,1,"",,Erro,2021-01-05 22:07:15,"",2020-12-16
12725,41686,http://www.programming.de/download/testscreens.zip,1,"",,Erro,2021-01-05 22:07:14,"",2020-08-26
13116,41301,http://www.freewebs.com/strategicgame/GalaxiaForEverV2.zip,1,"",,Erro,2021-01-05 22:07:13,"",2018-09-14
13323,41093,http://www.enkord.com/product.php?action=download&product=clashnslashworldsaway,1,"",,Erro,2021-01-05 22:07:12,"",
13331,41085,http://www.innovative-sol.com/soft/tbm/taskbar_button_manager.exe,1,"",,Erro,2021-01-05 22:07:12,"",
38804,2419,http://www.abroaddesign.com/search/search.zip,1,"",,Erro,2021-01-05 22:05:58,"",
39360,1503,http://www.momorprods.com/download/download.php?id=2,1,"",,Erro,2021-01-05 22:05:54,"",
40549,36442,http://www.tweaknow.com/download/RegCleanerPro-t.exe,1,"",,Erro,2021-01-05 22:05:49,"",
41393,14679,http://www.freewebs.com/tinysof/software/TinySOF_DataFileJoinCutter.exe,1,"",,Erro,2021-01-05 22:05:49,"",
43930,54224,http://www.imgag.com/product/full/ap/3138806/ag_your_photos_seasons.zip,1,"",,Erro,2021-01-05 22:05:46,"",
45637,54583,http://kent.dl.sourceforge.net/sourceforge/comical/Comical-MacOSX-0.8.dmg,1,"",,Erro,2021-01-05 22:05:46,"",2020-11-17
46294,54731,http://www.imgag.com/product/full/ap/3125141/ag_countryhalloween.zip,1,"",,Erro,2021-01-05 22:05:45,"",
46372,54553,http://www.imgag.com/product/full/ap/3102796/ag_halloweenstars.zip,1,"",,Erro,2021-01-05 22:05:45,"",
49967,55405,http://www.bitsum.com/files/vistammsc.zip,1,"",,Erro,2021-01-05 22:05:42,"",
120972,38660,http://www.pro-sharing.com/limewire_turbo_free.exe,1,"",,Erro,2021-01-05 22:04:47,"",
121231,65773,http://www.tenthumbstypingtutor.com/downloads/47/Ten_Thumbs_Single.dmg,1,"",,Erro,2021-01-05 22:04:47,"",2020-09-28
121743,57840,http://www.hostm.com/downloads/simplecss/SimpleCSS-osx.zip,1,"",,Erro,2021-01-05 22:04:47,"",
122074,65904,http://www.lujosoft.net/Download_Free/Coding/ImageFormat/ImageFormat.rar,1,"",,Erro,2021-01-05 22:04:46,"",2020-02-03
122338,65955,http://www.thewindowsclub.com/downloads/Windows%20Theme%20Installer.zip,1,"",,Erro,2021-01-05 22:04:46,"",2020-12-19
122502,65982,http://cdn.media.zylom.com/games/41/3/6/817/eldoradodownload.exe,1,"",,Erro,2021-01-05 22:04:46,"",2020-10-26
122564,65996,http://cdn.media.zylom.com/ggames/2523/3/6/5557/hollywoodthedirectorscutdownload.exe,1,"",,Erro,2021-01-05 22:04:46,"",2020-03-20
122857,66055,http://cdn.media.zylom.com/ggames/2520/3/6/5585/geminilosttmdownload.exe,1,"",,Erro,2021-01-05 22:04:46,"",2020-09-08
122988,66092,http://downloads.wordpress.org/plugin/wordtwit.2.3.2.zip,1,"",,Erro,2021-01-05 22:04:46,"",2018-11-30
123158,66118,http://cdn.media.zylom.com/ggames/2456/3/6/5133/createamalldownload.exe,1,"",,Erro,2021-01-05 22:04:46,"",2020-03-10
123737,66199,http://www.binerus.com/files/Picture2Icon_Lin-2_50.tar.gz,1,"",,Erro,2021-01-05 22:04:45,"",
