"CodUrl","CodProg","Url","CodTipoUrl","Extra","codTipoSo","Status","DataChecagem","StatusGoogle","DataChecagemUrlQuebrada"
242241,65157,http://www.mediafire.com/?cnwgytu1dtq,0,,0,Erro,2021-01-05 22:03:17,"",
33,53607,http://downloads.sourceforge.net/oser/oser.mod?modtime=1137004464&big_mirror=0,1,"",,Erro,2021-01-05 22:07:45,"",
34,53607,http://downloads.sourceforge.net/oser/oserServer.iso?modtime=1141353470&big_mirror=0,1,"",,Erro,2021-01-05 22:07:45,"",
53,53591,http://downloads.sourceforge.net/katapult/katapult-0.3.2.2.tar.bz2?modtime=1216828520&big_mirror=0,1,"",,Erro,2021-01-05 22:07:45,"",
109,53541,http://downloads.sourceforge.net/jpd/jpartialdownloader-1.9.zip?modtime=1171890399&big_mirror=0,1,"",,Erro,2021-01-05 22:07:45,"",
110,53541,http://downloads.sourceforge.net/jpd/jpartialdownloader-1.9-src.zip?modtime=1171890261&big_mirror=0,1,"",,Erro,2021-01-05 22:07:45,"",
230,53442,http://downloads.sourceforge.net/lgames/occ-1.3.2.tar.gz?modtime=1207334023&big_mirror=0,1,"",,Erro,2021-01-05 22:07:44,"",2020-04-10
232,53440,http://www.mediafire.com/?nvuotarhgle,1,"",,Erro,2021-01-05 22:07:44,"",2020-05-10
263,53412,http://get.whitesmoke.com/WhiteSmoke_Enrichment_free.exe,1,"",,Erro,2021-01-05 22:07:44,"",
294,53385,http://www.mediafire.com/download.php?xf6k0zqfdwp,1,"",,Erro,2021-01-05 22:07:44,"",2020-02-03
305,53374,http://absolutist.com/kid_games/ancient_quest_of_saqqarah/ancient_quest_of_saqqarah.exe,1,"",,Erro,2021-01-05 22:07:44,"",2020-11-17
359,53330,http://prdownloads.sourceforge.net/tcl/tcl8.6a1-src.tar.gz,1,"",,Erro,2021-01-05 22:07:44,"",
379,53312,http://www.mediafire.com/?cng7m06poz3,1,"",,Erro,2021-01-05 22:07:44,"",
417,53278,http://downloads.sourceforge.net/flac/flac-1.2.1.tar.gz?modtime=1189961849&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",
501,53205,http://downloads.sourceforge.net/brazilfw/BrazilFW-2.31.10-Final.zip,1,"",,Erro,2021-01-05 22:07:43,"",2019-10-09
509,53200,http://downloads.sourceforge.net/qdvdauthor/qdvdauthor-1.5.0-2.tar.gz?modtime=1217847454&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",2020-08-18
510,53199,http://prdownloads.sourceforge.net/heroines/xmovie-1.9.13-src.tar.bz2,1,"",,Erro,2021-01-05 22:07:43,"",
530,53181,http://downloads.sourceforge.net/ww2d/WW2D-0.99.88RC1-lin.bin?modtime=1156823343&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",2020-02-03
532,53179,http://downloads.sourceforge.net/linuxstok/linuxstok-0.7.0rc1.tar.gz?modtime=1162834162&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",2021-01-05
567,53146,http://prdownloads.sourceforge.net/knights/knights-0.6.4-beta.tar.gz,1,"",,Erro,2021-01-05 22:07:43,"",2019-09-20
573,53141,http://a.gametop.com/free-games-download/StarShooter.exe,1,"",,Erro,2021-01-05 22:07:43,"",
595,53119,http://downloads.sourceforge.net/xine/gxine-0.5.903.tar.bz2?modtime=1213311034&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",
605,53111,http://downloads.sourceforge.net/gag/gag4_10.zip,1,"",,Erro,2021-01-05 22:07:43,"",
608,53108,http://downloads.sourceforge.net/marathon/AlephOne-20080721.tar.bz2?modtime=1216677167&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",
609,53108,http://downloads.sourceforge.net/marathon/AlephOne-20080721-1.i386.rpm?modtime=1216678043&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",
649,53077,http://downloads.sourceforge.net/ssh-gui/ssh-gui-0.7.1.tar.gz?modtime=958196894&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",
660,53068,http://sourceforge.net/project/showfiles.php?group_id=35354&package_id=27593&release_id=308983,1,"",,Erro,2021-01-05 22:07:43,"",
671,53057,http://www.mediafire.com/?u0psdmtcxy0,1,"",,Erro,2021-01-05 22:07:43,"",
704,53028,http://downloads.sourceforge.net/rars/rars091_2.zip?modtime=1052006400&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",2020-01-28
750,52990,http://www.mediafire.com/?0elz8dlnhin,1,"",,Erro,2021-01-05 22:07:43,"",2020-02-12
768,52972,http://downloads.sourceforge.net/dvdshrink/dvdshrink-2.6.1-10mdk.tar.gz?modtime=1178280240&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",
769,52972,http://downloads.sourceforge.net/dvdshrink/dvdshrink-2.6.1-10mdk.noarch.rpm?modtime=1178280207&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",
790,52955,http://downloads.sourceforge.net/fakenes/fakenes-0.5.9-beta3.tar.gz?modtime=1216548818&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",
819,52930,http://absolutist.com/kid_games/build_in_time/build_in_time.exe,1,"",,Erro,2021-01-05 22:07:43,"",2020-10-29
823,52926,http://downloads.sourceforge.net/spgm/spgm-1.4.7.tar.gz?modtime=1168209231&big_mirror=0,1,"",,Erro,2021-01-05 22:07:43,"",2020-04-09
827,52923,http://prdownloads.sourceforge.net/grip/grip-3.3.1-1.i386.rpm?download,1,"",,Erro,2021-01-05 22:07:43,"",
828,52923,http://prdownloads.sourceforge.net/grip/grip-3.3.1.tar.gz?download,1,"",,Erro,2021-01-05 22:07:43,"",
868,52888,http://downloads.sourceforge.net/apolloplayer/apollo-src-1.4.2-1.tar.bz2?modtime=1035936000&big_mirror=0,1,"",,Erro,2021-01-05 22:07:42,"",
869,52888,http://downloads.sourceforge.net/apolloplayer/apollo-1.4.2-1.src.rpm?modtime=1035936000&big_mirror=0,1,"",,Erro,2021-01-05 22:07:42,"",
874,52884,http://prdownloads.sourceforge.net/apollon/apollon-1.0.2.1.tar.gz?download,1,"",,Erro,2021-01-05 22:07:42,"",
919,52839,http://www.mediafire.com/?9bsdomunjmg,1,"",,Erro,2021-01-05 22:07:42,"",
940,52823,http://absolutist.com/kid_games/caribbean_hideaway/caribbean_hideaway.exe,1,"",,Erro,2021-01-05 22:07:42,"",2020-10-29
941,52822,http://kmerlin.sourceforge.net/kmerlin-1.3Beta4.tar.gz,1,"",,Erro,2021-01-05 22:07:42,"",
956,52809,http://absolutist.com/kid_games/fitness_frenzy/fitness_frenzy.exe,1,"",,Erro,2021-01-05 22:07:42,"",2020-10-29
967,52799,http://www.mediafire.com/?ywoytafd2u1,1,"",,Erro,2021-01-05 22:07:42,"",
1023,52753,http://absolutist.com/kid_games/the_clumsys/the_clumsys.exe,1,"",,Erro,2021-01-05 22:07:42,"",2020-10-29
1051,52734,http://downloads.sourceforge.net/dangerdeep/dangerdeep-0.3.0-linux-installer.bin,1,"",,Erro,2021-01-05 22:07:42,"",
1052,52734,http://downloads.sourceforge.net/dangerdeep/dangerdeep-0.3.0.tar.gz,1,"",,Erro,2021-01-05 22:07:42,"",
1084,52706,http://www.mediafire.com/?jemmmsdrziw,1,"",,Erro,2021-01-05 22:07:42,"",
1196,52613,http://www.frozax.com/files/springup.dmg,1,"",,Erro,2021-01-05 22:07:42,"",
